Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;09.04.2003;12,2;1,7;0;9,7
Oslo - Blindern;SN18700;10.04.2003;7,1;5,7;0;7,8
Oslo - Blindern;SN18700;06.04.2004;0;7;3,1;8
Oslo - Blindern;SN18700;07.04.2004;6,5;7;0,7;8
Oslo - Blindern;SN18700;08.04.2004;10,3;2,7;0,2;14
Oslo - Blindern;SN18700;09.04.2004;3,4;4,3;0;13,2
Oslo - Blindern;SN18700;10.04.2004;12,3;1;0;12,3
Oslo - Blindern;SN18700;06.04.2005;0,4;6,3;0,2;8,7
Oslo - Blindern;SN18700;07.04.2005;6,2;7,7;7,6;5,5
Oslo - Blindern;SN18700;08.04.2005;11;7,3;7,9;9,2
Oslo - Blindern;SN18700;09.04.2005;6,5;3,3;0,3;10
Oslo - Blindern;SN18700;10.04.2005;12,5;7;0;7,7
Oslo - Blindern;SN18700;06.04.2006;0;7,7;1,4;3,6
Oslo - Blindern;SN18700;07.04.2006;0;4,3;4,8;8,2
Oslo - Blindern;SN18700;08.04.2006;0;8;2,6;5,5
Oslo - Blindern;SN18700;09.04.2006;0;7;8,7;5,1
Oslo - Blindern;SN18700;10.04.2006;0;3,3;1,2;9,2
Oslo - Blindern;SN18700;06.04.2007;12,3;1,3;0;7,8
Oslo - Blindern;SN18700;07.04.2007;9,2;5;0;8,9
Oslo - Blindern;SN18700;08.04.2007;0,5;7,3;0;4,5
Oslo - Blindern;SN18700;09.04.2007;1,2;7,3;8,5;3
Oslo - Blindern;SN18700;10.04.2007;1,9;6,7;5,2;9,7
Oslo - Blindern;SN18700;06.04.2008;0;8;5,5;6,6
Oslo - Blindern;SN18700;07.04.2008;0;7,7;15,5;5,3
Oslo - Blindern;SN18700;08.04.2008;4,2;6,3;3,8;6,2
Oslo - Blindern;SN18700;09.04.2008;0;7,7;0;4,5
Oslo - Blindern;SN18700;10.04.2008;0,6;8;5,7;5,9
Oslo - Blindern;SN18700;06.04.2009;11,8;3,3;0;14,9
Oslo - Blindern;SN18700;07.04.2009;6,9;5,3;0;11
Oslo - Blindern;SN18700;08.04.2009;0;8;12,5;8,9
