Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;08.03.2021;10,4;3,7;0;3,9
Oslo - Blindern;SN18700;09.03.2021;6,3;5,7;0;6,9
Oslo - Blindern;SN18700;10.03.2021;0;8;1,8;4,6
Oslo - Blindern;SN18700;11.03.2021;0;8;12,9;1,3
Oslo - Blindern;SN18700;12.03.2021;5,3;6;12,3;7,2
Oslo - Blindern;SN18700;13.03.2021;0,6;7,3;0;4,7
Oslo - Blindern;SN18700;14.03.2021;5,9;7;0;7
Oslo - Blindern;SN18700;15.03.2021;7,1;4;0,2;8,8
Oslo - Blindern;SN18700;16.03.2021;3,7;6;0;7
Oslo - Blindern;SN18700;17.03.2021;9,9;4,3;0;6,8
Oslo - Blindern;SN18700;18.03.2021;5,7;7;0;8,7
Oslo - Blindern;SN18700;19.03.2021;4,4;6;0,1;6,1
Oslo - Blindern;SN18700;01.03.2022;6,2;4,7;0,6;8,3
Oslo - Blindern;SN18700;02.03.2022;10,1;1;0;10,9
Oslo - Blindern;SN18700;03.03.2022;10;3;0;6,9
Oslo - Blindern;SN18700;04.03.2022;10,3;1;0;5,5
Oslo - Blindern;SN18700;05.03.2022;7,2;5;0;4,6
Oslo - Blindern;SN18700;06.03.2022;9,6;2,7;0;8,6
Oslo - Blindern;SN18700;07.03.2022;9,1;4,3;0;8,5
Oslo - Blindern;SN18700;08.03.2022;8;5,3;0;5
Oslo - Blindern;SN18700;09.03.2022;0;8;0;0,1
Oslo - Blindern;SN18700;10.03.2022;0;8;0,1;2,8
Oslo - Blindern;SN18700;11.03.2022;3,7;5,7;0,2;4,8
Oslo - Blindern;SN18700;12.03.2022;10,5;1,7;0;6,9
Oslo - Blindern;SN18700;13.03.2022;9,6;6,3;0;8,3
Oslo - Blindern;SN18700;14.03.2022;10,8;3;0;10,3
Oslo - Blindern;SN18700;15.03.2022;8,8;3,3;0;8,4
Oslo - Blindern;SN18700;16.03.2022;0;8;0;4
Oslo - Blindern;SN18700;17.03.2022;0;7,7;0;4,1
Oslo - Blindern;SN18700;18.03.2022;9,7;3,7;2,4;10,8
Oslo - Blindern;SN18700;19.03.2022;10,3;1,7;0;11,4
Oslo - Blindern;SN18700;01.03.2023;10;1,3;0;9,8
Oslo - Blindern;SN18700;02.03.2023;8,5;3,3;0;6,9
Oslo - Blindern;SN18700;03.03.2023;4;5,7;0;8,4
Oslo - Blindern;SN18700;04.03.2023;8,8;5;0;7,1
Oslo - Blindern;SN18700;05.03.2023;9,6;1,7;0;4,6
Oslo - Blindern;SN18700;06.03.2023;10;1,3;0;2,3
Oslo - Blindern;SN18700;07.03.2023;6,7;5,7;0;-1,3
Oslo - Blindern;SN18700;08.03.2023;10;2,7;0;1,1
Oslo - Blindern;SN18700;09.03.2023;10,5;2,3;1,1;-0,5
Oslo - Blindern;SN18700;10.03.2023;9,4;4;0;0,8
Oslo - Blindern;SN18700;11.03.2023;8,5;3,3;0;1,1
Oslo - Blindern;SN18700;12.03.2023;6,3;5,3;0;1,9
Oslo - Blindern;SN18700;13.03.2023;0;8;2,6;-0,3
Oslo - Blindern;SN18700;14.03.2023;5,6;6,7;12,8;5,2
Oslo - Blindern;SN18700;15.03.2023;11,1;1;0;6,5
Oslo - Blindern;SN18700;16.03.2023;4,6;5;0;3,6
Oslo - Blindern;SN18700;17.03.2023;0;8;5,8;2,3
Oslo - Blindern;SN18700;18.03.2023;3,4;6,7;13,1;8,3
Oslo - Blindern;SN18700;19.03.2023;0;8;0,1;4,1
Data er gyldig per 23.03.2023 (CC BY 4.0), Meteorologisk institutt (MET);;;;;;
