Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;11.03.1986;0;8;0,5;1,6
Oslo - Blindern;SN18700;12.03.1986;0;8;0;1,4
Oslo - Blindern;SN18700;13.03.1986;0;8;0;0,4
Oslo - Blindern;SN18700;14.03.1986;0;8;1,3;0,4
Oslo - Blindern;SN18700;15.03.1986;0;8;0,6;0,5
Oslo - Blindern;SN18700;16.03.1986;0;8;0,8;0,2
Oslo - Blindern;SN18700;17.03.1986;0;8;0,8;-1
Oslo - Blindern;SN18700;18.03.1986;0;8;3,3;1,5
Oslo - Blindern;SN18700;19.03.1986;8,1;4,7;1,6;5
Oslo - Blindern;SN18700;01.03.1987;8,5;1;0;-6,5
Oslo - Blindern;SN18700;02.03.1987;7,7;3;0;-9,3
Oslo - Blindern;SN18700;03.03.1987;9;1,3;0;-7,3
Oslo - Blindern;SN18700;04.03.1987;1,5;6,3;0;-7,2
Oslo - Blindern;SN18700;05.03.1987;9;1;0;-6,2
Oslo - Blindern;SN18700;06.03.1987;9,3;0;0;-0,9
Oslo - Blindern;SN18700;07.03.1987;5,4;5;0;-2,8
Oslo - Blindern;SN18700;08.03.1987;1,3;5,7;0;-2,5
Oslo - Blindern;SN18700;09.03.1987;5,8;3,3;0;-0,2
Oslo - Blindern;SN18700;10.03.1987;9,4;1,3;0;0,7
Oslo - Blindern;SN18700;11.03.1987;8,9;1,3;0;1,5
Oslo - Blindern;SN18700;12.03.1987;7,1;3;0;1
Oslo - Blindern;SN18700;13.03.1987;9,9;0,7;0;3,2
Oslo - Blindern;SN18700;14.03.1987;3,3;5;0;-0,4
Oslo - Blindern;SN18700;15.03.1987;0;8;3,1;-2,2
Oslo - Blindern;SN18700;16.03.1987;1,4;7,7;3,9;-0,8
Oslo - Blindern;SN18700;17.03.1987;0;8;0,4;-1,5
Oslo - Blindern;SN18700;18.03.1987;0;7,7;5,2;-0,5
Oslo - Blindern;SN18700;19.03.1987;0;7;11,3;1,4
Oslo - Blindern;SN18700;01.03.1988;0,6;4,7;0,2;-1,1
Oslo - Blindern;SN18700;02.03.1988;4;6,7;0;0,7
Oslo - Blindern;SN18700;03.03.1988;0;8;4;0,7
Oslo - Blindern;SN18700;04.03.1988;0;7,7;16,3;1,6
Oslo - Blindern;SN18700;05.03.1988;0,1;7,3;7,4;1,2
Oslo - Blindern;SN18700;06.03.1988;0;5,7;1;1,1
Oslo - Blindern;SN18700;07.03.1988;8,7;1,7;0;1
Oslo - Blindern;SN18700;08.03.1988;9,2;1;0;1,6
Oslo - Blindern;SN18700;09.03.1988;0;8;0;-2,3
Oslo - Blindern;SN18700;10.03.1988;0;7,3;3,1;-1,2
Oslo - Blindern;SN18700;11.03.1988;9,2;2;0,2;4,2
Oslo - Blindern;SN18700;12.03.1988;9,9;1,3;0;2,8
Oslo - Blindern;SN18700;13.03.1988;9,5;1;0;2
Oslo - Blindern;SN18700;14.03.1988;10,1;1,3;0;1,2
Oslo - Blindern;SN18700;15.03.1988;9,7;1,7;0;0,3
Oslo - Blindern;SN18700;16.03.1988;1,3;7;0;-2,5
Oslo - Blindern;SN18700;17.03.1988;5,9;5,7;0;-1,5
Oslo - Blindern;SN18700;18.03.1988;10,6;1;0;6,4
Oslo - Blindern;SN18700;19.03.1988;0;7,3;0;2,8
Oslo - Blindern;SN18700;01.03.1989;0,1;7,3;2,8;3,4
Oslo - Blindern;SN18700;02.03.1989;0,1;8;0;3,6
Oslo - Blindern;SN18700;03.03.1989;0;7,7;0;2,5
Oslo - Blindern;SN18700;04.03.1989;0;8;0;2,1
Oslo - Blindern;SN18700;05.03.1989;5,1;5;7,1;8,1
Oslo - Blindern;SN18700;06.03.1989;0;8;0,3;5,7
Oslo - Blindern;SN18700;07.03.1989;0;8;4,6;7,7
Oslo - Blindern;SN18700;08.03.1989;0;8;3,5;5,8
Oslo - Blindern;SN18700;09.03.1989;0;8;11,6;4,5
Oslo - Blindern;SN18700;10.03.1989;0,3;7,7;5,8;7
Oslo - Blindern;SN18700;11.03.1989;7,3;3,7;2;9,2
Oslo - Blindern;SN18700;12.03.1989;3,2;6,3;0;8
Oslo - Blindern;SN18700;13.03.1989;0;7,7;0;6,3
Oslo - Blindern;SN18700;14.03.1989;2;4,3;16;6,5
